,withoutThreshold,withThreshold,thresholdValue
814,47497,180404,260
815,4218,180404,260
816,83813,180404,260
817,56177,180404,260
818,485,180404,260
819,93640,180404,260
820,130632,180404,260
821,19623,180404,260
822,7790,180404,260
823,145544,180404,260
824,20149,180404,260
825,19918,180404,260
826,83998,180404,260
827,68071,180404,260
828,456,180404,260
829,11182,180404,260
830,8015,180404,260
831,750,180404,260
832,14046,180404,260
833,104258,180404,260
834,2229,180404,260
835,12993,180404,260
836,3849,180404,260
837,15907,180404,260
838,100364,180404,260
839,85618,180404,260
840,32789,180404,260
841,44549,180404,260
842,29726,180404,260
843,26265,180404,260
844,124781,180404,260
845,50912,180404,260
846,37984,180404,260
847,115401,180404,260
848,77316,180404,260
849,72470,180404,260
850,4177,172016,270
851,30334,172016,270
852,10821,172016,270
853,9857,172016,270
854,7367,172016,270
855,3793,172016,270
856,157239,172016,270
857,40320,172016,270
858,18732,172016,270
859,15488,172016,270
860,76078,172016,270
861,14666,172016,270
862,94355,172016,270
863,16407,172016,270
864,39537,172016,270
865,13539,172016,270
866,6890,172016,270
867,244821,172016,270
868,119002,172016,270
869,6344,172016,270
870,13051,172016,270
871,20171,172016,270
872,49009,172016,270
873,179527,172016,270
874,20748,172016,270
875,18900,172016,270
876,3330,172016,270
877,6247,172016,270
878,21067,172016,270
879,30341,172016,270
880,40973,172016,270
881,39222,172016,270
882,88965,172016,270
883,30943,172016,270
884,99707,172016,270
885,21664,172016,270
886,31335,172016,270
887,38661,172016,270
888,137481,172016,270
889,80623,172016,270
890,53229,172016,270
891,111089,172016,270
892,49042,172016,270
893,9962,172016,270
894,60284,172016,270
895,1581,172016,270
896,4023,172016,270
897,93019,172016,270
898,9149,172016,270
899,122832,172016,270
900,47514,178858,280
901,27525,178858,280
902,22760,178858,280
903,87383,178858,280
904,148746,178858,280
905,163925,178858,280
906,90736,178858,280
907,4633,178858,280
908,46113,178858,280
909,86386,178858,280
910,271,178858,280
911,335,178858,280
912,76274,178858,280
913,84448,178858,280
914,26849,178858,280
915,54487,178858,280
916,5,178858,280
917,33709,178858,280
918,158992,178858,280
919,67584,178858,280
920,18917,178858,280
921,52150,178858,280
922,29188,178858,280
923,7911,178858,280
924,46082,178858,280
925,31106,178858,280
926,23257,178858,280
927,155337,178858,280
928,7000,178858,280
929,132063,178858,280
930,60265,178858,280
931,5681,178858,280
932,38283,178858,280
933,10634,178858,280
934,93055,178858,280
935,41250,178858,280
936,80086,178858,280
937,55440,178858,280
938,119929,178858,280
939,51897,178858,280
940,27191,178858,280
941,111209,178858,280
942,22189,178858,280
943,205547,178858,280
944,157819,178858,280
945,10975,178858,280
946,180681,178858,280
947,126692,178858,280
948,66238,178858,280
949,14955,178858,280
950,75755,163645,290
951,6658,163645,290
952,81217,163645,290
953,461,163645,290
954,66382,163645,290
955,18615,163645,290
956,33973,163645,290
957,6974,163645,290
958,35245,163645,290
959,12824,163645,290
960,5847,163645,290
961,55647,163645,290
